date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,Tornado,MAGITUDE,Deaths,WINDSPEED
1/1/2010,5,-2,0,8.7,1,100,6:16:00 PM,7:45:00 AM,6:59:00 AM,4:58:00 PM,0,-1,3,-1,28,24,84,1.2,1027,5,10,340,17,mississippi,NO,0,0,0
1/2/2010,2,-3,0,8.7,2,85,7:31:00 PM,8:30:00 AM,7:00:00 AM,4:59:00 PM,-10,-5,-1,-5,21,8,55,0,1029,2,10,164,14,mississippi,NO,0,0,0
1/3/2010,3,-4,0,8.7,2,77,8:42:00 PM,9:09:00 AM,7:00:00 AM,5:00:00 PM,-16,-6,-2,-6,18,34,35,0,1027,3,10,93,12,mississippi,NO,0,0,0
1/4/2010,-1,-6,0,7.1,1,70,9:51:00 PM,9:44:00 AM,7:00:00 AM,5:01:00 PM,-17,-9,-4,-9,23,39,35,0,1027,-1,10,264,14,mississippi,NO,0,0,0
1/5/2010,1,-8,0,8.7,2,63,10:57:00 PM,10:15:00 AM,7:00:00 AM,5:02:00 PM,-15,-10,-5,-10,21,8,46,0,1029,1,10,312,13,mississippi,NO,0,0,0
1/6/2010,4,-8,0,8.7,2,56,No moonrise,10:47:00 AM,7:00:00 AM,5:02:00 PM,-16,-5,-3,-5,11,21,40,0,1026,4,10,169,6,mississippi,NO,0,0,0
1/7/2010,1,-6,0,3.8,1,48,12:02:00 AM,11:19:00 AM,7:00:00 AM,5:03:00 PM,-8,-6,-2,-6,22,62,66,3.6,1022,1,7,247,13,mississippi,NO,0,0,0
1/8/2010,-3,-9,0,8.7,2,41,1:06:00 AM,11:54:00 AM,7:00:00 AM,5:04:00 PM,-16,-13,-6,-13,28,18,50,0,1029,-3,10,330,17,mississippi,NO,0,0,0
1/9/2010,-1,-10,0,8.7,2,34,2:09:00 AM,12:31:00 PM,7:00:00 AM,5:05:00 PM,-11,-12,-6,-12,22,10,73,0,1033,-1,10,342,14,mississippi,NO,0,0,0
1/10/2010,0,-10,0,8.7,2,27,3:10:00 AM,1:14:00 PM,7:00:00 AM,5:06:00 PM,-12,-10,-6,-10,19,2,67,0,1036,0,10,326,11,mississippi,NO,0,0,0
1/11/2010,7,-8,0,8.7,2,19,4:09:00 AM,2:02:00 PM,7:00:00 AM,5:07:00 PM,-10,-5,-1,-5,20,13,55,0,1030,7,10,239,11,mississippi,NO,0,0,0
1/12/2010,4,-4,0,8.7,1,12,5:03:00 AM,2:54:00 PM,7:00:00 AM,5:08:00 PM,-5,-4,0,-4,20,16,73,0,1030,4,10,255,11,mississippi,NO,0,0,0
1/13/2010,8,-5,0,8.7,2,5,5:52:00 AM,3:49:00 PM,7:00:00 AM,5:09:00 PM,-6,-2,0,-2,11,3,71,0,1029,8,10,163,5,mississippi,NO,0,0,0
1/14/2010,10,-3,0,8.7,2,0,6:34:00 AM,4:46:00 PM,6:59:00 AM,5:10:00 PM,-3,0,2,0,14,23,70,0,1025,10,10,159,8,mississippi,NO,0,0,0
1/15/2010,12,-1,0,8.7,3,0,7:12:00 AM,5:43:00 PM,6:59:00 AM,5:10:00 PM,-1,3,5,3,17,13,68,0,1024,12,10,89,9,mississippi,NO,0,0,0
1/16/2010,10,6,0,3.9,2,2,7:44:00 AM,6:39:00 PM,6:59:00 AM,5:11:00 PM,7,6,8,6,29,75,90,36.8,1014,10,8,74,16,mississippi,NO,0,0,0
1/17/2010,11,6,0,3.9,2,10,8:13:00 AM,7:35:00 PM,6:59:00 AM,5:12:00 PM,8,6,9,6,28,85,95,17.8,1008,11,8,262,17,mississippi,NO,0,0,0
