yr,mo,dy,date,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1950,2,12,2/12/1950,MS,1,0,0,34.6,-89.12,0,0,2,10
1950,2,12,2/12/1950,MS,2,2,3,34.6,-89.12,0,0,0.1,10
1950,3,1,3/1/1950,MS,1,0,0,32.5,-88.85,0,0,0.1,10
1950,3,27,3/27/1950,MS,1,2,0,34.73,-88.27,0,0,0.1,10
1950,3,27,3/27/1950,MS,2,0,0,33.13,-89.57,33.25,-89.42,11.9,10
1950,3,27,3/27/1950,MS,2,7,0,32.28,-90.27,32.98,-89.82,59.3,50
1950,3,27,3/27/1950,MS,2,6,0,32.28,-90.27,32.48,-89.78,31.9,50
1950,3,27,3/27/1950,MS,2,0,0,33.67,-88.78,33.72,-88.73,4.7,10
1950,3,27,3/27/1950,MS,2,2,1,33.17,-90.55,0,0,0.1,10
1950,4,29,4/29/1950,MS,2,0,0,31.27,-89.83,31.38,-89.7,11.3,100
1950,5,1,5/1/1950,MS,1,0,0,31.73,-91.07,0,0,0.1,10
1950,5,1,5/1/1950,MS,1,0,0,31.55,-91.38,0,0,0.1,10
1950,6,3,6/3/1950,MS,3,1,2,33.08,-89.58,0,0,2,50
1950,11,20,11/20/1950,MS,1,3,0,32.42,-89.13,0,0,2,37
1951,2,20,2/20/1951,MS,1,0,0,33.47,-88.48,0,0,0.1,10
1951,2,20,2/20/1951,MS,3,1,1,33.45,-88.87,0,0,0.1,10
1951,4,21,4/21/1951,MS,1,0,0,32.07,-89.52,0,0,0.1,10
1951,4,21,4/21/1951,MS,3,16,2,31.68,-89.25,32.15,-89.12,33.5,10
1951,6,9,6/9/1951,MS,0,0,0,32.9,-90.72,0,0,2,10
1951,9,9,9/9/1951,MS,2,0,0,33.5,-88.43,0,0,0.1,100
1951,12,8,12/8/1951,MS,0,0,0,32.17,-90.8,0,0,0.5,350
1951,12,20,12/20/1951,MS,1,0,0,33.13,-89.05,0,0,2,900
1952,2,13,2/13/1952,MS,0,0,0,32.77,-89.1,0,0,0.1,10
1952,2,13,2/13/1952,MS,1,1,0,33.85,-88.47,0,0,0.1,10
1952,2,13,2/13/1952,MS,1,2,0,30.42,-89.48,0,0,0.1,10
1952,3,21,3/21/1952,MS,0,1,0,32.47,-90.12,0,0,0.1,20
1952,3,21,3/21/1952,MS,4,74,16,34.87,-89.68,35.12,-89.28,29.6,427
1952,7,29,7/29/1952,MS,1,0,0,31.62,-89.53,0,0,0.1,10
1952,8,3,8/3/1952,MS,2,0,0,34.37,-89.52,0,0,0.3,200
1953,1,22,1/22/1953,MS,2,1,0,31.55,-90.88,32.12,-90.5,45.2,100
1953,2,20,2/20/1953,MS,1,0,0,33.52,-89.92,33.7,-89.73,16.5,100
1953,2,20,2/20/1953,MS,1,0,0,34.03,-88.88,34.32,-88.73,21.3,100
1953,2,20,2/20/1953,MS,2,2,0,33.03,-91.02,0,0,1,100
1953,2,20,2/20/1953,MS,2,1,0,34.25,-89.05,34.35,-88.83,14.2,880
1953,3,14,3/14/1953,MS,2,0,1,34.67,-88.43,34.7,-88.4,3.3,10
1953,3,21,3/21/1953,MS,1,0,0,34.28,-90.65,34.38,-90.55,9,10
1953,3,22,3/22/1953,MS,1,1,0,31.88,-89.95,32.57,-88.42,101.3,10
1953,4,4,4/4/1953,MS,2,0,0,30.85,-89.13,0,0,0.1,100
1953,4,14,4/14/1953,MS,1,0,0,33.73,-88.77,0,0,0.1,10
1953,4,24,4/24/1953,MS,2,0,0,31.72,-91.07,32.58,-89.77,96.7,30
1953,5,4,5/4/1953,MS,1,0,0,30.85,-89.13,30.9,-89.05,6.2,100
1953,5,4,5/4/1953,MS,2,1,0,31.83,-89.43,0,0,1.5,200
1953,5,4,5/4/1953,MS,2,0,0,34.92,-88.52,34.98,-88.38,8.8,20
1953,5,4,5/4/1953,MS,2,2,0,33.12,-88.57,33.22,-88.45,9.6,100
1953,5,14,5/14/1953,MS,2,1,0,33.6,-88.62,33.82,-88.43,18.7,10
1953,8,8,8/8/1953,MS,1,0,0,32.35,-90.17,0,0,0.1,10
1953,8,9,8/9/1953,MS,1,0,0,30.32,-89.23,0,0,0.1,10
1953,12,3,12/3/1953,MS,3,20,0,32.73,-91.07,32.92,-90.83,18.8,300
1953,12,5,12/5/1953,MS,2,11,0,34.2,-90.73,34.28,-90.83,8.2,30
1953,12,5,12/5/1953,MS,5,270,38,32.33,-90.9,32.42,-90.78,9,500
1954,1,20,1/20/1954,MS,1,0,0,33.38,-88.42,33.45,-88.37,5.6,100
1954,1,20,1/20/1954,MS,2,2,0,33.3,-88.83,33.47,-88.62,17.3,27
1954,2,20,2/20/1954,MS,2,10,0,31.28,-89.65,31.68,-89.23,37.1,200
1954,2,20,2/20/1954,MS,2,10,0,32.43,-89.23,32.62,-89,19.2,100
1954,4,28,4/28/1954,MS,1,0,0,34.92,-88.58,0,0,0.1,10
1954,4,28,4/28/1954,MS,1,0,0,34.92,-88.58,0,0,0.1,10
1954,4,28,4/28/1954,MS,2,2,0,34.37,-88.33,34.4,-88.3,3.3,10
1954,4,30,4/30/1954,MS,1,0,0,32.27,-89.58,32.33,-89.5,6.8,10
1954,5,27,5/27/1954,MS,1,0,0,32.43,-90.13,0,0,0.1,10
1954,6,3,6/3/1954,MS,2,3,0,32.48,-89.17,32.57,-89.08,7.6,300
1954,7,9,7/9/1954,MS,0,0,0,32.33,-89.17,0,0,0.1,10
1954,7,24,7/24/1954,MS,1,0,0,33.97,-90.48,0,0,0.1,10
1954,12,28,12/28/1954,MS,1,2,0,32.12,-89.52,0,0,0.1,10
1954,12,28,12/28/1954,MS,3,25,0,31.63,-89.18,31.77,-89.07,11.5,250
1954,12,29,12/29/1954,MS,2,9,0,32.9,-88.7,32.92,-88.67,11.5,300
1955,3,21,3/21/1955,MS,2,0,0,34.27,-88.72,0,0,0.3,33
1955,4,12,4/12/1955,MS,2,0,0,31.92,-89.98,32.07,-89.02,57.6,10
1955,4,12,4/12/1955,MS,2,0,0,31.53,-89.42,32.98,-88.83,112.8,10
1955,4,21,4/21/1955,MS,1,0,0,32.27,-90.2,32.32,-90.15,5.1,10
1955,6,22,6/22/1955,MS,2,0,0,34.15,-90.42,34.5,-89.98,34.6,10
1955,10,28,10/28/1955,MS,2,1,0,34.2,-90.57,0,0,2,10
1956,2,16,2/16/1956,MS,3,55,1,33.8,-88.67,33.83,-88.53,8,200
1956,2,17,2/17/1956,MS,1,0,0,34.92,-88.52,34.93,-88.47,3.3,300
1956,2,17,2/17/1956,MS,1,0,0,33.58,-88.93,33.62,-88.63,17.4,300
1956,4,3,4/3/1956,MS,2,6,0,33.55,-90.6,34.38,-88.67,124.9,10
1956,4,3,4/3/1956,MS,2,2,0,33.58,-88.83,33.6,-88.75,5.1,100
1956,7,23,7/23/1956,MS,0,0,0,30.55,-89.77,0,0,0.1,10
1957,2,1,2/1/1957,MS,1,0,0,33.43,-89.7,0,0,0.1,30
